customer_id,first_name,last_name,email,phone,gender,date_of_birth,city,state,country,customer_segment,signup_date,created_date,updated_date
42,Abhishek,Agarwal,abhishek.agarwal5671@gmail.com,8815090078,Male,1970-08-26,Delhi,Delhi,India,Gold,2024-01-04,2024-01-04,2024-01-04
43,Sushmita,Nair,sushmita.nair218@outlook.com,8558962509,Female,1974-06-01,Kanpur,Uttar Pradesh,India,Platinum,2025-05-14,2025-05-14,2025-05-14
44,Pallavi,Kapoor,pallavi.kapoor2371@yahoo.com,6142173490,Female,1960-09-27,Nagpur,Maharashtra,India,Silver,2024-05-02,2024-05-02,2024-05-02
45,Ritik,Bhat,ritik.bhat8572@yahoo.com,6985079084,Male,2005-06-10,Kolkata,West Bengal,India,Gold,2026-01-11,2026-01-11,2026-01-11
46,Ajay,Mishra,ajay.mishra4822@gmail.com,7313265104,Male,1995-10-18,Vijayawada,Andhra Pradesh,India,Bronze,2023-08-08,2023-08-08,2023-08-08
47,Krishna,Chatterjee,krishna.chatterjee4289@hotmail.com,6520157940,Male,2004-06-03,Indore,Madhya Pradesh,India,Silver,2024-07-28,2024-07-28,2024-07-28
48,Ashwin,Das,ashwin.das4453@yahoo.com,7496639148,Male,1971-01-06,Mangalore,Karnataka,India,Silver,2023-01-05,2023-01-05,2023-01-05
49,Karthik,Chatterjee,karthik.chatterjee4574@hotmail.com,8314366837,Male,1986-10-01,Indore,Madhya Pradesh,India,Gold,2023-08-01,2023-08-01,2023-08-01
50,Kunal,Kumar,kunal.kumar1988@gmail.com,9446282389,Male,1989-02-15,Lucknow,Uttar Pradesh,India,Gold,2022-11-22,2022-11-22,2022-11-22
51,Krishna,Nair,krishna.nair5690@outlook.com,8628624009,Male,1964-12-02,Jaipur,Rajasthan,India,Gold,2026-01-03,2026-01-03,2026-01-03
52,Ayesha,Patel,ayesha.patel6439@gmail.com,9377660593,Female,1975-08-24,Visakhapatnam,Andhra Pradesh,India,Platinum,2026-04-09,2026-04-09,2026-04-09
53,Venkat,Kumar,venkat.kumar3634@hotmail.com,9751466905,Male,2007-12-16,Vijayawada,Andhra Pradesh,India,Bronze,2022-12-09,2022-12-09,2022-12-09
54,Jyothi,Kapoor,jyothi.kapoor3465@gmail.com,7466288974,Female,1998-07-04,Patna,Bihar,India,Bronze,2025-09-03,2025-09-03,2025-09-03
55,Uday,Chatterjee,uday.chatterjee8500@gmail.com,6568186431,Male,2007-11-22,Agra,Uttar Pradesh,India,Gold,2023-04-15,2023-04-15,2023-04-15
56,Yogesh,Reddy,yogesh.reddy8180@gmail.com,6581456723,Male,1994-10-17,Aurangabad,Maharashtra,India,Gold,2022-09-14,2022-09-14,2022-09-14
57,Naresh,Choudhary,naresh.choudhary8294@gmail.com,7708753279,Male,2007-01-17,Hubli,Karnataka,India,Silver,2023-10-04,2023-10-04,2023-10-04
58,Uma,Bhat,uma.bhat790@yahoo.com,8203230274,Female,1980-08-04,Salem,Tamil Nadu,India,Silver,2026-05-03,2026-05-03,2026-05-03
59,Lokesh,Shetty,lokesh.shetty8908@outlook.com,8245557822,Male,1979-12-03,Kolkata,West Bengal,India,Silver,2024-11-22,2024-11-22,2024-11-22
60,Balaji,Verma,balaji.verma867@outlook.com,8930566983,Male,1982-09-21,Salem,Tamil Nadu,India,Gold,2026-03-03,2026-03-03,2026-03-03
61,Ravindra,Choudhary,ravindra.choudhary6023@outlook.com,9629836533,Male,2001-05-05,Indore,Madhya Pradesh,India,Silver,2024-04-03,2024-04-03,2024-04-03
62,Gokul,Patel,gokul.patel6397@hotmail.com,8895136380,Male,1974-01-21,Kochi,Kerala,India,Silver,2023-10-22,2023-10-22,2023-10-22
63,Sana,Kapoor,sana.kapoor6241@hotmail.com,9331002259,Female,1969-02-13,Karimnagar,Telangana,India,Gold,2022-12-08,2022-12-08,2022-12-08
64,Arjun,Sharma,arjun.sharma1970@yahoo.com,8338761014,Male,1994-11-13,Mysore,Karnataka,India,Bronze,2022-12-20,2022-12-20,2022-12-20
65,Raghav,Gupta,raghav.gupta6880@outlook.com,9275388741,Male,1997-08-20,Indore,Madhya Pradesh,India,Platinum,2024-02-10,2024-02-10,2024-02-10
66,Rohit,Sharma,rohit.sharma571@hotmail.com,8558412258,Male,1962-01-17,Jaipur,Rajasthan,India,Bronze,2025-08-13,2025-08-13,2025-08-13
67,Vikram,Pandey,vikram.pandey3477@hotmail.com,8311283494,Male,1957-05-18,Udaipur,Rajasthan,India,Silver,2023-08-10,2023-08-10,2023-08-10
68,Yogesh,Pillai,yogesh.pillai359@outlook.com,9848890450,Male,2002-09-18,Mangalore,Karnataka,India,Gold,2024-04-01,2024-04-01,2024-04-01
69,Nazia,Agarwal,nazia.agarwal1447@yahoo.com,7634632573,Female,1984-01-26,Patna,Bihar,India,Gold,2026-03-08,2026-03-08,2026-03-08
70,Madhavi,Kapoor,madhavi.kapoor8864@outlook.com,9941622418,Female,1981-09-17,Warangal,Telangana,India,Silver,2023-04-01,2023-04-01,2023-04-01
71,Pallavi,Rao,pallavi.rao2862@outlook.com,8396300767,Female,1998-02-02,Agra,Uttar Pradesh,India,Bronze,2022-12-02,2022-12-02,2022-12-02
72,Monika,Rao,monika.rao7526@hotmail.com,7788045704,Female,1980-01-08,Vijayawada,Andhra Pradesh,India,Silver,2024-04-28,2024-04-28,2024-04-28
73,Bhavya,Pandey,bhavya.pandey966@outlook.com,7424316721,Female,1995-08-21,Bhubaneswar,Odisha,India,Silver,2024-06-30,2024-06-30,2024-06-30
74,Naresh,Nair,naresh.nair1977@outlook.com,6730659805,Male,2006-10-29,Jaipur,Rajasthan,India,Platinum,2023-11-30,2023-11-30,2023-11-30
75,Sandeep,Bhat,sandeep.bhat5006@outlook.com,7451369383,Male,1957-04-30,Thiruvananthapuram,Kerala,India,Gold,2024-03-21,2024-03-21,2024-03-21
76,Vikram,Iyer,vikram.iyer4016@yahoo.com,6269429760,Male,1989-02-10,Warangal,Telangana,India,Bronze,2025-04-03,2025-04-03,2025-04-03
77,Harini,Rao,harini.rao8291@yahoo.com,8003096405,Female,1979-11-09,Cuttack,Odisha,India,Gold,2022-06-24,2022-06-24,2022-06-24
78,Manasa,Yadav,manasa.yadav443@yahoo.com,8291017580,Female,1983-06-22,Warangal,Telangana,India,Silver,2025-05-25,2025-05-25,2025-05-25
79,Vaishnavi,Singh,vaishnavi.singh798@outlook.com,8183033277,Female,1975-09-07,Vijayawada,Andhra Pradesh,India,Gold,2023-04-29,2023-04-29,2023-04-29
80,Amit,Patel,amit.patel6243@outlook.com,8539184045,Male,1971-03-08,Mysore,Karnataka,India,Platinum,2025-09-29,2025-09-29,2025-09-29
81,Vijay,Das,vijay.das9624@outlook.com,7641205112,Male,1988-12-16,Coimbatore,Tamil Nadu,India,Bronze,2024-04-17,2024-04-17,2024-04-17
82,Mohan,Agarwal,mohan.agarwal1257@yahoo.com,7108652280,Male,1959-01-11,Howrah,West Bengal,India,Silver,2024-04-16,2024-04-16,2024-04-16
83,Tejas,Mishra,tejas.mishra5664@hotmail.com,7595205486,Male,1957-02-24,Ahmedabad,Gujarat,India,Silver,2025-11-17,2025-11-17,2025-11-17
84,Balaji,Kumar,balaji.kumar8586@gmail.com,7775898758,Male,1982-11-11,Patna,Bihar,India,Bronze,2025-07-11,2025-07-11,2025-07-11
85,Indu,Sharma,indu.sharma188@yahoo.com,9776457996,Female,1963-01-23,Udaipur,Rajasthan,India,Silver,2024-09-30,2024-09-30,2024-09-30
86,Arjun,Choudhary,arjun.choudhary2608@gmail.com,6042203982,Male,1986-05-21,Nashik,Maharashtra,India,Platinum,2024-08-04,2024-08-04,2024-08-04
87,Shiva,Joshi,shiva.joshi2858@gmail.com,9840181974,Male,1966-02-12,Thiruvananthapuram,Kerala,India,Platinum,2025-04-20,2025-04-20,2025-04-20
88,Sowmya,Rao,sowmya.rao6053@yahoo.com,7335091643,Female,1974-04-19,Delhi,Delhi,India,Platinum,2023-07-18,2023-07-18,2023-07-18
89,Pavan,Rao,pavan.rao582@yahoo.com,7054462107,Male,1992-07-19,Karimnagar,Telangana,India,Bronze,2022-07-09,2022-07-09,2022-07-09
90,Ayaan,Mishra,ayaan.mishra3570@hotmail.com,9794646809,Male,1964-01-24,Visakhapatnam,Andhra Pradesh,India,Silver,2023-03-06,2023-03-06,2023-03-06
91,Farah,Shetty,farah.shetty5750@outlook.com,7052066372,Female,1971-02-21,Mumbai,Maharashtra,India,Gold,2024-05-01,2024-05-01,2024-05-01
92,Harika,Rao,harika.rao2251@outlook.com,9002007067,Female,1989-02-07,Cuttack,Odisha,India,Silver,2024-05-23,2024-05-23,2024-05-23
93,Komal,Choudhary,komal.choudhary1760@hotmail.com,6433266610,Female,1959-11-11,Kanpur,Uttar Pradesh,India,Platinum,2023-08-10,2023-08-10,2023-08-10
94,Shruti,Rao,shruti.rao6544@hotmail.com,7895125821,Female,1988-08-31,Ranchi,Jharkhand,India,Platinum,2022-07-03,2022-07-03,2022-07-03
95,Keerthana,Das,keerthana.das9650@gmail.com,9266587680,Female,1998-09-05,Mysore,Karnataka,India,Gold,2023-06-26,2023-06-26,2023-06-26
96,Bhanu,Choudhary,bhanu.choudhary6759@gmail.com,9023649260,Male,1963-08-15,Pune,Maharashtra,India,Silver,2025-06-18,2025-06-18,2025-06-18
97,Pranav,Das,pranav.das4269@gmail.com,6156105081,Male,1976-06-12,Lucknow,Uttar Pradesh,India,Platinum,2024-07-02,2024-07-02,2024-07-02
98,Balaji,Mehta,balaji.mehta1877@hotmail.com,9982832534,Male,1956-11-23,Chennai,Tamil Nadu,India,Silver,2024-02-08,2024-02-08,2024-02-08
99,Neha,Nair,neha.nair6213@gmail.com,7897636682,Female,1982-05-30,Mumbai,Maharashtra,India,Gold,2025-08-31,2025-08-31,2025-08-31
100,Yamini,Kapoor,yamini.kapoor4304@gmail.com,7204123541,Female,1975-10-21,Hubli,Karnataka,India,Gold,2025-02-20,2025-02-20,2025-02-20
101,Niharika,Joshi,niharika.joshi603@hotmail.com,7922116399,Female,1984-05-01,Chennai,Tamil Nadu,India,Bronze,2025-11-22,2025-11-22,2025-11-22
102,Yash,Das,yash.das4877@gmail.com,8027026581,Male,1966-05-16,Lucknow,Uttar Pradesh,India,Silver,2022-11-20,2022-11-20,2022-11-20
103,Rohit,Mehta,rohit.mehta1638@yahoo.com,6466975534,Male,1992-06-05,Vijayawada,Andhra Pradesh,India,Gold,2025-12-24,2025-12-24,2025-12-24
104,Ramesh,Agarwal,ramesh.agarwal2852@outlook.com,9132307119,Male,2004-03-06,Udaipur,Rajasthan,India,Gold,2024-08-18,2024-08-18,2024-08-18
105,Madhavi,Kumar,madhavi.kumar4529@gmail.com,8656804937,Female,1982-06-12,Ahmedabad,Gujarat,India,Gold,2025-08-03,2025-08-03,2025-08-03
106,Kiran,Sharma,kiran.sharma5611@yahoo.com,9020672073,Male,1958-03-19,Warangal,Telangana,India,Platinum,2025-03-12,2025-03-12,2025-03-12
107,Pragya,Singh,pragya.singh2587@outlook.com,9360742437,Female,1974-11-03,Howrah,West Bengal,India,Platinum,2025-02-25,2025-02-25,2025-02-25
108,Manasa,Sharma,manasa.sharma916@yahoo.com,9309780102,Female,1973-09-21,Howrah,West Bengal,India,Platinum,2022-12-03,2022-12-03,2022-12-03
109,Vamsi,Kulkarni,vamsi.kulkarni3345@yahoo.com,6888819242,Male,1962-03-28,Aurangabad,Maharashtra,India,Platinum,2025-07-03,2025-07-03,2025-07-03
110,Lakshmi,Das,lakshmi.das2374@yahoo.com,9896659337,Female,1991-11-18,Jaipur,Rajasthan,India,Bronze,2026-05-11,2026-05-11,2026-05-11
111,Raghav,Nair,raghav.nair3948@outlook.com,8828914412,Male,1992-06-26,Bhopal,Madhya Pradesh,India,Platinum,2024-02-06,2024-02-06,2024-02-06
112,Ranjith,Mehta,ranjith.mehta6234@outlook.com,8572042762,Male,1976-05-30,Coimbatore,Tamil Nadu,India,Platinum,2023-06-02,2023-06-02,2023-06-02
113,Niharika,Mehta,niharika.mehta7054@yahoo.com,6724559460,Female,2006-11-19,Chennai,Tamil Nadu,India,Silver,2024-04-08,2024-04-08,2024-04-08
114,Dinesh,Reddy,dinesh.reddy8697@gmail.com,9791730606,Male,1966-06-23,Patna,Bihar,India,Platinum,2024-04-16,2024-04-16,2024-04-16
115,Uday,Joshi,uday.joshi7247@gmail.com,9833824514,Male,1959-06-12,Vadodara,Gujarat,India,Gold,2025-10-23,2025-10-23,2025-10-23
116,Sangeetha,Das,sangeetha.das8220@hotmail.com,9133373918,Female,2007-05-31,Surat,Gujarat,India,Bronze,2024-04-08,2024-04-08,2024-04-08
117,Hina,Rao,hina.rao5785@hotmail.com,8551393621,Female,2005-04-03,Mangalore,Karnataka,India,Gold,2025-02-17,2025-02-17,2025-02-17
118,Krishna,Nair,krishna.nair5109@outlook.com,9433948948,Male,1971-08-09,Pune,Maharashtra,India,Gold,2024-01-24,2024-01-24,2024-01-24
119,Sandeep,Pandey,sandeep.pandey3659@yahoo.com,6290653553,Male,1977-10-02,Varanasi,Uttar Pradesh,India,Bronze,2025-01-30,2025-01-30,2025-01-30
120,Harika,Mishra,harika.mishra5414@hotmail.com,8834998565,Female,1988-07-26,Howrah,West Bengal,India,Bronze,2026-04-04,2026-04-04,2026-04-04
121,Prakash,Chatterjee,prakash.chatterjee8332@outlook.com,7036132990,Male,1986-10-04,Coimbatore,Tamil Nadu,India,Bronze,2023-06-29,2023-06-29,2023-06-29
122,Padma,Pandey,padma.pandey3736@hotmail.com,9835601303,Female,1996-03-10,New Delhi,Delhi,India,Silver,2022-11-24,2022-11-24,2022-11-24
123,Abhishek,Verma,abhishek.verma2695@hotmail.com,7116008699,Male,1962-02-24,Cuttack,Odisha,India,Silver,2022-07-11,2022-07-11,2022-07-11
124,Sai,Kapoor,sai.kapoor6064@outlook.com,7104727724,Male,1968-09-30,Ranchi,Jharkhand,India,Platinum,2024-07-26,2024-07-26,2024-07-26
125,Arjun,Choudhary,arjun.choudhary734@outlook.com,7962375579,Male,2006-06-05,Ranchi,Jharkhand,India,Silver,2022-08-04,2022-08-04,2022-08-04
126,Rakesh,Joshi,rakesh.joshi4279@yahoo.com,7316664588,Male,2000-12-29,Warangal,Telangana,India,Gold,2025-02-11,2025-02-11,2025-02-11
127,Keerthana,Agarwal,keerthana.agarwal8033@yahoo.com,6736894212,Female,1967-09-14,Nagpur,Maharashtra,India,Silver,2025-08-07,2025-08-07,2025-08-07
128,Srinivas,Kulkarni,srinivas.kulkarni6361@gmail.com,6179998226,Male,1999-10-12,Salem,Tamil Nadu,India,Silver,2026-04-08,2026-04-08,2026-04-08
129,Harika,Shetty,harika.shetty9428@outlook.com,7787740883,Female,1996-05-15,Varanasi,Uttar Pradesh,India,Platinum,2022-10-27,2022-10-27,2022-10-27
130,Bhanu,Das,bhanu.das7458@outlook.com,6535921946,Male,1977-06-01,Jaipur,Rajasthan,India,Bronze,2022-07-30,2022-07-30,2022-07-30
131,Mahesh,Jain,mahesh.jain6947@gmail.com,7792463340,Male,1987-07-18,Varanasi,Uttar Pradesh,India,Gold,2024-11-06,2024-11-06,2024-11-06
132,Vamsi,Agarwal,vamsi.agarwal3105@yahoo.com,9726951664,Male,2000-10-24,Mumbai,Maharashtra,India,Bronze,2023-08-27,2023-08-27,2023-08-27
133,Lokesh,Pandey,lokesh.pandey582@hotmail.com,7135494156,Male,1962-02-13,Thiruvananthapuram,Kerala,India,Silver,2024-03-15,2024-03-15,2024-03-15
134,Mohan,Bhat,mohan.bhat1661@outlook.com,9393768607,Male,1988-03-14,Mysore,Karnataka,India,Silver,2024-04-28,2024-04-28,2024-04-28
135,Siddharth,Sharma,siddharth.sharma6845@outlook.com,6347008757,Male,1991-05-31,Nagpur,Maharashtra,India,Silver,2023-01-13,2023-01-13,2023-01-13
136,Krishna,Agarwal,krishna.agarwal2158@hotmail.com,6403706461,Male,2007-06-02,Ahmedabad,Gujarat,India,Gold,2025-11-11,2025-11-11,2025-11-11
137,Mahesh,Yadav,mahesh.yadav2440@yahoo.com,9964822908,Male,1987-10-18,Jaipur,Rajasthan,India,Platinum,2023-05-15,2023-05-15,2023-05-15
138,Zara,Jain,zara.jain8714@gmail.com,9342744378,Female,1973-10-23,Ranchi,Jharkhand,India,Silver,2025-12-15,2025-12-15,2025-12-15
139,Nandini,Verma,nandini.verma318@outlook.com,8723610233,Female,1989-03-12,Lucknow,Uttar Pradesh,India,Bronze,2022-11-23,2022-11-23,2022-11-23
140,Amrutha,Agarwal,amrutha.agarwal6118@hotmail.com,8586286029,Female,1957-03-16,Pune,Maharashtra,India,Bronze,2024-03-08,2024-03-08,2024-03-08
141,Pooja,Shetty,pooja.shetty2075@gmail.com,8821967905,Female,2007-03-23,Mumbai,Maharashtra,India,Silver,2022-12-13,2022-12-13,2022-12-13
142,Aditi,Jain,aditi.jain3991@outlook.com,9094898746,Female,2001-11-04,Pune,Maharashtra,India,Platinum,2024-10-02,2024-10-02,2024-10-02
143,Kalyani,Verma,kalyani.verma4639@outlook.com,8694858718,Female,1972-09-20,Nashik,Maharashtra,India,Silver,2024-01-13,2024-01-13,2024-01-13
144,Komal,Reddy,komal.reddy2483@outlook.com,8746564936,Female,1964-06-28,Aurangabad,Maharashtra,India,Platinum,2023-08-14,2023-08-14,2023-08-14
145,Yogesh,Jain,yogesh.jain4218@yahoo.com,6580518547,Male,1990-01-09,Hyderabad,Telangana,India,Silver,2023-07-07,2023-07-07,2023-07-07
146,Nazia,Chatterjee,nazia.chatterjee9399@outlook.com,8076799070,Female,2007-06-27,Aurangabad,Maharashtra,India,Silver,2023-04-17,2023-04-17,2023-04-17
147,Krishna,Patel,krishna.patel2981@hotmail.com,7178303179,Male,1978-05-22,Mangalore,Karnataka,India,Platinum,2024-09-03,2024-09-03,2024-09-03
148,Tarun,Sharma,tarun.sharma6020@outlook.com,7109347012,Male,2000-10-28,Delhi,Delhi,India,Bronze,2026-03-14,2026-03-14,2026-03-14
149,Aishwarya,Chatterjee,aishwarya.chatterjee7714@hotmail.com,7416471713,Female,1978-01-06,Aurangabad,Maharashtra,India,Platinum,2022-08-22,2022-08-22,2022-08-22
150,Ramesh,Sharma,ramesh.sharma9958@hotmail.com,7802650920,Male,1984-07-30,Mangalore,Karnataka,India,Gold,2023-05-24,2023-05-24,2023-05-24
151,Rishi,Singh,rishi.singh9563@hotmail.com,9922622684,Male,1977-11-27,Howrah,West Bengal,India,Bronze,2023-12-22,2023-12-22,2023-12-22
152,Neha,Bhat,neha.bhat2809@outlook.com,6135610740,Female,2005-12-16,Bhopal,Madhya Pradesh,India,Silver,2022-09-19,2022-09-19,2022-09-19
153,Komal,Yadav,komal.yadav252@yahoo.com,6006322534,Female,1976-08-22,Kochi,Kerala,India,Bronze,2026-05-01,2026-05-01,2026-05-01
154,Vijay,Bhat,vijay.bhat4961@outlook.com,6736692920,Male,2004-08-20,Vijayawada,Andhra Pradesh,India,Bronze,2026-04-25,2026-04-25,2026-04-25
155,Ayesha,Mishra,ayesha.mishra5846@yahoo.com,8713618676,Female,1998-08-08,Cuttack,Odisha,India,Gold,2024-11-28,2024-11-28,2024-11-28
156,Akash,Shetty,akash.shetty683@hotmail.com,8586930031,Male,1981-08-19,Mumbai,Maharashtra,India,Bronze,2022-11-14,2022-11-14,2022-11-14
157,Ritu,Kulkarni,ritu.kulkarni1266@yahoo.com,6259560411,Female,1971-12-20,Patna,Bihar,India,Bronze,2024-12-04,2024-12-04,2024-12-04
158,Vani,Kulkarni,vani.kulkarni3192@outlook.com,6566266474,Female,2003-10-05,Surat,Gujarat,India,Bronze,2025-01-19,2025-01-19,2025-01-19
159,Naresh,Gupta,naresh.gupta3084@yahoo.com,6595524992,Male,1987-12-15,Bangalore,Karnataka,India,Platinum,2024-05-07,2024-05-07,2024-05-07
160,Madhav,Jain,madhav.jain7585@outlook.com,6964741949,Male,1998-09-22,Visakhapatnam,Andhra Pradesh,India,Silver,2024-06-27,2024-06-27,2024-06-27
161,Divya,Mehta,divya.mehta6833@outlook.com,8801640889,Female,1997-10-21,Visakhapatnam,Andhra Pradesh,India,Silver,2024-06-13,2024-06-13,2024-06-13
162,Deepak,Bhat,deepak.bhat3238@hotmail.com,9154473420,Male,1960-04-12,Udaipur,Rajasthan,India,Gold,2023-11-04,2023-11-04,2023-11-04
163,Kavya,Agarwal,kavya.agarwal2831@yahoo.com,9576722213,Female,1967-11-20,Udaipur,Rajasthan,India,Silver,2025-09-08,2025-09-08,2025-09-08
164,Swathi,Mishra,swathi.mishra9898@outlook.com,9738899508,Female,1988-11-26,Kochi,Kerala,India,Platinum,2022-08-24,2022-08-24,2022-08-24
165,Deepak,Patel,deepak.patel7487@yahoo.com,6265074296,Male,2003-11-06,Visakhapatnam,Andhra Pradesh,India,Silver,2024-03-06,2024-03-06,2024-03-06
